"","2.5%","25%","50%","75%","97.5%"
"Body",0.30669254132327,0.958186095109248,1.35853124009541,1.70065278824688,2.46029652989186
"DenseFeathers",0.750747936727298,1.3905539665498,1.72626140980511,2.07436236007152,2.66425374069817
"HeadCrest",-0.266737604917735,0.515672801593892,0.896240749616099,1.28740103294372,2.03136144718565
"Leg",0.266979207990188,0.888036924858101,1.30292684038684,1.65186145531661,2.37267728049133
"LowerEyeSpots",0.00739860970034204,0.690648124050054,1.03370046956248,1.39225331648006,2.14039357832511
"LowerFishtail",0.22164909579796,0.829279645421446,1.1611935582936,1.46453311894108,2.22808577152779
"Scales",-2.46411253757443,-1.5049264867152,-1.13377212034675,-0.7423011612286,0.126419076022669
"UpperEyeSpots",-3.58974165213217,-2.90610271340417,-2.55804685681547,-2.18327892105978,-1.49146926787649
"UpperFishtail",-4.85540098367921,-4.15253406286841,-3.77472504607392,-3.37712760635267,-2.66596825388191
"Mean",-2.7733054414789,-1.91846941461234,-1.63661725518573,-1.36956124729435,-0.827058225473319
"female std",0.0149786774764372,0.177905628274505,0.376646547810054,0.614579599187004,1.24078063539237
"male std",0.053436666300221,0.406910771475898,0.634235073920813,0.997155959643681,2.38486831306093
"disp std",1.75902747089342,1.95099137400859,2.07110709347349,2.19350207570196,2.5061634716146
