"","2.5%","25%","50%","75%","97.5%"
"DenseFeathers",-1.61380256108104,-0.356105684016721,0.308493397915401,0.93367042704665,2.16950413399432
"Leg",-3.16848069456352,-1.56840892414045,-0.842842899279637,-0.149135175287009,1.23099357710732
"LongFeathers",-6.14381200302248,-4.4112862529785,-3.68623541562495,-2.87539476992503,-1.42168417717939
"LowerEyeSpots",0.502061213817262,1.77360040876618,2.32190165540166,2.96982168956123,4.10300358426566
"LowerFishtails",1.00075600133326,2.04067798680015,2.6107232709718,3.22467865307815,4.45281017941763
"UpperEyeSpots",-3.52999680010329,-2.2583391418522,-1.66723136409708,-1.0045457378616,0.172221350712487
"UpperFishtails",-4.12045190776345,-2.71638934710879,-2.06597331387349,-1.37746051092868,-0.0862887182400748
"WhitePuff",-2.44982729263448,-0.913311024753238,-0.177216195446264,0.464481122483406,1.75381945761112
"Wing",1.49130150713676,2.59750539605218,3.24761400328534,3.8118962207776,4.88420870016101
"Mean",-8.97619890415482,-7.5531207696637,-6.81121500217421,-6.091401222164,-4.46542994702948
"male std",0.862912103872962,2.10796847216124,2.78261237368952,3.39722454956102,3.9254374574127
"disp std",3.19067455478571,3.54881803233251,3.73611467599765,3.87969438952094,3.98636746367923
