"","2.5%","25%","50%","75%","97.5%"
"BrownTail",-0.694126545534866,-0.0285195768013277,0.338768297317885,0.678250937700154,1.39945225213272
"BrownWingBrownBody",-0.370395211069775,0.327850531950123,0.656187306774363,1.0020498940253,1.61299013390485
"GreenNeck",-1.09225148207739,-0.409180261415752,-0.0577567696024044,0.246770925249613,0.953273203442549
"HeadCrest",-1.84131567360464,-1.09475025992631,-0.729759173040414,-0.357195568925356,0.312181392069081
"Leg",-1.18814838823481,-0.561371563409739,-0.204780705908692,0.132789821538827,0.878713591604359
"WhiteChest",-0.943300586335117,-0.307770584692758,0.0304872793049882,0.342699270503081,0.95338584998477
"Mean",-2.7372064880218,-2.172869784255,-1.95110769277108,-1.71800974346105,-1.04832852937611
"male std",0.0152433454132329,0.169437443723661,0.414526850947081,0.769443953386075,1.84246939216996
"disp std",1.65170101356587,1.87756878739641,2.03443137944644,2.18910101990746,2.57818435198295
