"","2.5%","25%","50%","75%","97.5%"
"Body",-0.248045304510621,0.830649639774252,1.35539851969491,1.9688196588432,3.12507544658614
"DenseFeathers",0.12471228880879,1.25907003465324,1.80542837026248,2.29288544316434,3.21043115250239
"HeadCrest",-4.45288919095836,-2.74971363330853,-1.94483113933104,-1.13874149264735,0.181419770803671
"Leg",-0.760603237110634,0.244612731152104,0.858336138233323,1.35785144679535,2.43303351066932
"LowerEyeSpots",1.33738077481316,2.24134922079519,2.79015825733456,3.29498358955571,4.43897305822045
"LowerFishtail",0.436505416028536,1.36021841401785,1.87479283715988,2.38751327418212,3.27401552294598
"Scales",-0.73243703646984,0.312971613813999,0.897981586543185,1.44595219327058,2.47225184163455
"UpperEyeSpots",-3.79486575971209,-2.70384906127593,-2.17842452106087,-1.59195863675545,-0.547501649025589
"UpperFishtail",-7.42146438157735,-6.02013823998729,-5.41096631136265,-4.71824654870795,-3.56262460500478
"Mean",-4.48347689448392,-3.50825646385851,-3.10021109229023,-2.67352678226835,-1.77184383765897
"female std",0.0243232448006907,0.25697692567424,0.551362105724322,0.928435390170969,1.84926381858925
"male std",0.26197095605872,0.798236131925085,1.1341907215367,1.61384016423532,2.92759848847591
"disp std",2.72136538270866,3.0290066303691,3.22845272977118,3.44365872868183,3.87385646566649
