"","2.5%","25%","50%","75%","97.5%"
"Body",-0.334326212697587,0.791660386731326,1.34156298452057,1.85708809213442,2.91772618509712
"DenseFeathers",-0.0278255946043561,1.08238620185972,1.55031156827156,2.0764865667325,3.04191659677572
"HeadCrest",-5.10561590526977,-3.16575355517764,-2.33073208165505,-1.54609782841333,0.0231022929837816
"Leg",-0.288353571023564,0.750692196092143,1.32614145429733,1.83730714356733,2.93023421105815
"LowerEyeSpots",1.0743672020066,1.90647791659791,2.41591382293832,2.93459006330545,3.96417532920525
"LowerFishtail",0.628404237354182,1.54511702134301,2.05810377808685,2.56249486253221,3.56044674023795
"Scales",-1.34187527682664,-0.0804632307180407,0.484472704084986,1.03971181312011,2.05888845347601
"UpperEyeSpots",-3.2512548895972,-2.19225721266617,-1.6881803734624,-1.19736946327301,-0.195137927751065
"UpperFishtail",-7.14554793281263,-5.71838560130667,-5.03814817578496,-4.41700900070991,-3.14850368731872
"Mean",-4.95936920684877,-4.00867387441508,-3.55186391746983,-3.16939075275036,-2.29536569974369
"female std",0.0412913008893924,0.336135567462137,0.667245946052713,1.06872168081187,1.96344647844529
"male std",0.227513703263349,0.795431671543752,1.17164289706702,1.58909603704336,3.02576647263544
"disp std",3.00775340186107,3.34323062485637,3.53810690796038,3.7315977306586,3.95814132534353
