"","2.5%","25%","50%","75%","97.5%"
"Body",0.379345754801625,1.0550882179818,1.41666392379295,1.76720808721984,2.43572427809554
"DenseFeathers",0.249400308103744,0.77944889842602,1.10999844668471,1.46022334355084,1.99692568725367
"HeadCrest",-0.399623245548965,0.356225553341124,0.791242074303086,1.16842047920098,1.78854767045564
"Leg",-0.251943703791389,0.486571371064323,0.876534186813211,1.19982945131854,1.92641263374215
"LowerEyeSpots",0.158895600117277,0.865947105280135,1.17780966211323,1.52603797560426,2.18758986541957
"LowerFishtail",-0.0855751099269261,0.600587994930363,0.91936856913302,1.26156059542602,1.91362917546465
"Scales",-0.626811901747872,0.058506765360961,0.418004643921445,0.761869757398604,1.42586166869106
"UpperEyeSpots",-3.75783633155896,-3.12338431684144,-2.79053412443653,-2.46022798481439,-1.72626247762721
"UpperFishtail",-4.98470799294251,-4.24644909592283,-3.85811719917266,-3.50010907111072,-2.88050613363826
"Mean",-2.71137029876835,-1.97452156860447,-1.66534229073744,-1.37350152401328,-0.729365106925276
"female std",0.0236641072420429,0.215626716057049,0.398139872502386,0.619401539101579,1.11688498098879
"male std",0.139514007464182,0.573968992381779,0.868313135514435,1.20527660822652,2.28303521871622
"disp std",1.90553936647582,2.09288667384061,2.21246998017892,2.32937163065601,2.57951706023128
