"","2.5%","25%","50%","75%","97.5%"
"BlackFluff",-11.8641624620904,0.130985941278477,6.87274156263963,12.7383894098276,24.1782927984418
"DenseFeathers",-3.12772040078343,-1.25691179949599,-0.34005315740328,0.53188778426017,2.45560939180861
"Leg",-4.73049382240902,-2.73117900684507,-1.74732338567063,-0.804242055851718,1.15213804955379
"LongFeathers",-7.64315992179406,-5.52010010178314,-4.42492263187766,-3.42216439769031,-1.66038702179937
"LowerEyeSpots",-0.674358514824021,0.86493876944533,1.74871645550482,2.6626279956548,4.16698265651322
"LowerFishtails",-0.392248139481444,1.2033225929419,2.12588571193283,3.06607753553532,4.74568572102557
"UpperEyeSpots",-5.03030652969694,-3.39843454488717,-2.50329188459029,-1.63106746670654,0.286594008840439
"UpperFishtails",-5.40670529787978,-3.87242771470573,-2.92276824781941,-1.94149698605672,-0.224846102296806
"WhitePuff",-3.99837163862825,-2.0237432807815,-1.0651035245867,-0.164915212396597,1.59773373316861
"Wing",0.180382482921344,1.7475021286329,2.67126489656073,3.53065138488916,5.12592503191608
"Mean",-9.23686089234516,-7.45356930119212,-6.34518967881483,-5.16489571946785,-3.15727271328953
"female std",1.77596828839395,2.59337227651987,3.09539437242031,3.52530408057107,3.94057941182828
"male std",0.89217525774428,1.88235893194668,2.62029554854133,3.27500326284191,3.92518353545856
"disp std",2.77543085669132,3.12431878449939,3.35312970171712,3.57977676658986,3.92853977190998
