"","2.5%","25%","50%","75%","97.5%"
"BrownTail",-0.712083193934096,-0.0523178321031912,0.316225180282507,0.63993905416513,1.306389939539
"BrownWingBrownBody",-0.394629625495455,0.299793832416904,0.619961387376343,0.953874587181117,1.67568419891249
"GreenNeck",-0.965944175094641,-0.399030521561546,-0.0483613546958135,0.269288940237857,0.924904406341455
"HeadCrest",-1.84453851041106,-1.10755946431518,-0.737221442771965,-0.3701534510689,0.309441922951803
"Leg",-1.18619102245883,-0.489886089434037,-0.163511704781135,0.171404950861645,0.772980132591966
"WhiteChest",-0.985098399886063,-0.310914373203221,0.00456381832168351,0.356166968386208,1.06735373260212
"Mean",-2.87938260372774,-2.19121679995972,-1.91073941988098,-1.60462748295624,-0.486091172319124
"female std",0.0208914335517952,0.232600840727114,0.487565359505507,0.785945929088907,1.59966708212244
"male std",0.0272547020118906,0.273252590834677,0.59139052853293,1.09339367246613,2.62345345611698
"disp std",1.61893480038775,1.85213151929183,1.98035855853895,2.13446970934902,2.46472555970561
