"","2.5%","25%","50%","75%","97.5%"
"BlackFluff",-10.4692789543764,0.871141521409147,6.80160744564752,12.5441369906843,23.5479673456702
"DenseFeathers",-5.93908663318443,-2.99596506947755,-1.52315904715383,-0.129207057463599,2.41407230746774
"Leg",-5.93400195446219,-2.94679932932857,-1.34128134370976,0.122995134293717,2.56735461102678
"LongFeathers",-7.29246753460043,-4.33691272422517,-2.91297290054813,-1.43632421519958,0.969915329622331
"LowerEyeSpots",-2.15997624017015,-0.135221155434956,1.11634794832452,2.40919380531915,4.5781655016166
"LowerFishtails",-1.57666898783925,0.601262867004394,1.84365198525498,2.96099923388685,5.22478979873641
"UpperEyeSpots",-6.94997681356811,-4.51907537159309,-3.18848967361565,-1.90891883905123,0.789288119922244
"UpperFishtails",-6.01111525756748,-3.7365133444878,-2.37878577845848,-1.0444674859422,1.76453906994292
"WhitePuff",-3.1097009041129,-0.424168485991416,0.920423174439104,2.05919517960403,4.37146385316707
"Wing",-2.46104592930394,-0.188216028824027,1.12237731299875,2.43955090074234,4.64676197737299
"Mean",-9.58679935437378,-7.40912887705753,-6.17491605521833,-5.15630444197965,-2.98281892774397
"male std",1.25662585422124,2.40855158115551,3.09519948784173,3.5827445631905,3.94887111104964
"disp std",3.20302704030607,3.6618745724631,3.81796626810907,3.92027507300085,3.99433844638949
