"","2.5%","25%","50%","75%","97.5%"
"BrownTail",-0.4894270916068,0.0586471891109465,0.328078026738032,0.632136737767938,1.1850163198092
"BrownWingBrownBody",-0.353372345799654,0.120879917988054,0.392572414918331,0.668218071770344,1.19591427384215
"GreenNeck",-0.983908851106607,-0.439448789264676,-0.172013523280178,0.118381817616495,0.700538990237606
"HeadCrest",-1.61332615901934,-1.02797667967735,-0.725268989116304,-0.426620080651356,0.150249418130278
"Leg",-0.894562882519139,-0.403627673825144,-0.123422413024068,0.161843275061896,0.719395334122023
"WhiteChest",-0.568826592389458,-0.00558026410003243,0.261391940457043,0.558581246309948,1.080079361281
"Mean",-3.8433609313145,-2.9185804804128,-2.56960275888992,-2.28385819784558,-1.51409222530192
"female std",0.0442734999991354,0.300522456400199,0.536532829971944,0.769024683926594,1.28997405233228
"male std",0.04502760405656,0.488580746123831,0.994962707732312,1.6737390845922,3.19147200376095
"disp std",1.68751488280982,1.895852887277,2.01181182404194,2.13561289330726,2.42435815236162
