"","2.5%","25%","50%","75%","97.5%"
"BlackFluff",-18.6986240449964,-11.8568136979186,-8.79115744457443,-6.44393893365705,-3.17991403163749
"DenseFeathers",-0.134153991780992,1.32845383680164,2.11319325223882,2.88715540218543,4.48406759986759
"Leg",-3.10464530695143,-1.11441756133554,-0.249020160392267,0.662937737384623,2.46562017562249
"LongFeathers",-6.21702961756602,-4.11378546423229,-3.14434129799326,-2.23245060738047,-0.458442322654574
"LowerEyeSpots",2.26542504541369,3.54870028966609,4.26969884486504,5.04063152888528,6.33670648384998
"LowerFishtails",2.06270082430108,3.3938321219067,4.08251031795343,4.7732366295122,6.13373227899826
"UpperEyeSpots",-2.88693413990656,-1.2607563543693,-0.551848912034524,0.108348070452369,1.53137732631535
"UpperFishtails",-3.60189309053912,-2.18144267412275,-1.33211901077498,-0.526441685488837,1.03618420258274
"WhitePuff",-2.96031866651267,-1.20950383501707,-0.290346293004664,0.573723263652788,2.21568977564012
"Wing",2.44300621364413,3.85138742358785,4.6097260498191,5.25903951410671,6.74167867781416
"Mean",-9.53228635835226,-8.05913723083067,-7.16755961325847,-6.30661261776383,-4.26091924912341
"female std",1.3281048601791,2.07524201893497,2.54865442622802,3.14396203379775,3.89147279005135
"male std",0.189894607567204,1.12137997385502,1.87567816182072,2.76158864322383,3.82158103810454
"disp std",2.70024474702452,3.13624325374126,3.38508145751204,3.62630292050707,3.95012572138945
