"","2.5%","25%","50%","75%","97.5%"
"Body",-0.204418778236704,0.82449294393544,1.35200865894249,1.95994770314889,2.98334440916691
"DenseFeathers",0.183741154957238,1.27657314781057,1.81585905053244,2.35021833989513,3.34539509143285
"HeadCrest",-4.66426438685619,-2.80510064028332,-1.97830026557162,-1.18435606947543,0.232832001237712
"Leg",-0.804831826323516,0.305631365919584,0.875070559474068,1.39322897522828,2.40377862531236
"LowerEyeSpots",1.34261000817901,2.34173128762125,2.81259931343145,3.29075168040492,4.45156155112013
"LowerFishtail",0.321556457231735,1.33489132342925,1.823533234526,2.37885166665999,3.42780543646819
"Scales",-0.775988531323917,0.338439577865618,0.886976571663759,1.4652966133959,2.70623389114001
"UpperEyeSpots",-3.66796341052887,-2.71319803183724,-2.19578524763034,-1.68581613714465,-0.598817634484102
"UpperFishtail",-7.40979761561932,-6.07171588661596,-5.40233236484046,-4.72051277494983,-3.5183098684506
"Mean",-4.61880651573701,-3.49582980331761,-3.09174770748851,-2.69479183561795,-1.75883072556964
"male std",0.408665965678843,0.86648387389715,1.22153806239703,1.62209945009077,3.03117048284974
"disp std",2.75853451695324,3.05545712716882,3.25096674835118,3.47653364593746,3.88386028981123
