Clip,TotalFrames,TotalGoodFrames,TotalFrontalImageFrames,TotalBackImageFrames,TotalFemaleFrames,TotalSelfFrames,TotalEnvirFrames,TotalBadTrackFrames,MaleID,EyeRecord,ROI,Count,PixelSize,TotalPixels,TotalPixelsWithoutHeadCrest,RelativePixelSize,LnTotalFramesImage,OtherMaleID,ClipType
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,DenseFeathers,32,25956.24,1454589.9,1453677.98,-4.02606724107353,5.5683445037611,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,LowerEyeSpots,175,354602.75,1454589.9,1453677.98,-1.41148113537953,5.5683445037611,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,UpperEyeSpots,0,619179.94,1454589.9,1453677.98,-0.854083359096807,5.5683445037611,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,5.5683445037611,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,LowerFishtail,55,129350.24,1454589.9,1453677.98,-2.4199555201454,5.5683445037611,53,Directed
04-08-13_No61_138253,3346,2699,262,0,119,0,2318,647,61,L,Leg,0,13503.73,1454589.9,1453677.98,-4.67951334062883,5.5683445037611,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,Body,20,6684.77,1454589.9,1453677.98,-5.38264747962988,6.41345895716736,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,6.41345895716736,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,6.41345895716736,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,DenseFeathers,13,25956.24,1454589.9,1453677.98,-4.02606724107353,6.41345895716736,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,LowerEyeSpots,37,354602.75,1454589.9,1453677.98,-1.41148113537953,6.41345895716736,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,UpperEyeSpots,45,619179.94,1454589.9,1453677.98,-0.854083359096807,6.41345895716736,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,UpperFishtail,38,300350.37,1454589.9,1453677.98,-1.57752959101518,6.41345895716736,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,LowerFishtail,244,129350.24,1454589.9,1453677.98,-2.4199555201454,6.41345895716736,53,Directed
04-08-13_No61_157623,5423,3908,610,292,316,0,2690,1515,61,L,Leg,213,13503.73,1454589.9,1453677.98,-4.67951334062883,6.41345895716736,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,Body,0,6684.77,1454589.9,1453677.98,-5.38264747962988,4.54329478227,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,4.54329478227,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,4.54329478227,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,DenseFeathers,46,25956.24,1454589.9,1453677.98,-4.02606724107353,4.54329478227,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,LowerEyeSpots,37,354602.75,1454589.9,1453677.98,-1.41148113537953,4.54329478227,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,UpperEyeSpots,0,619179.94,1454589.9,1453677.98,-0.854083359096807,4.54329478227,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,4.54329478227,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,LowerFishtail,11,129350.24,1454589.9,1453677.98,-2.4199555201454,4.54329478227,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,Leg,0,13503.73,1454589.9,1453677.98,-4.67951334062883,4.54329478227,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,Body,10,6684.77,1454589.9,1453677.98,-5.38264747962988,6.40522845803084,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,6.40522845803084,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,6.40522845803084,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,DenseFeathers,104,25956.24,1454589.9,1453677.98,-4.02606724107353,6.40522845803084,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,LowerEyeSpots,336,354602.75,1454589.9,1453677.98,-1.41148113537953,6.40522845803084,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,UpperEyeSpots,0,619179.94,1454589.9,1453677.98,-0.854083359096807,6.40522845803084,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,6.40522845803084,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,LowerFishtail,155,129350.24,1454589.9,1453677.98,-2.4199555201454,6.40522845803084,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,Leg,0,13503.73,1454589.9,1453677.98,-4.67951334062883,6.40522845803084,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,Body,46,6684.77,1454589.9,1453677.98,-5.38264747962988,7.13886699994552,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,7.13886699994552,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,7.13886699994552,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,DenseFeathers,86,25956.24,1454589.9,1453677.98,-4.02606724107353,7.13886699994552,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,LowerEyeSpots,860,354602.75,1454589.9,1453677.98,-1.41148113537953,7.13886699994552,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,UpperEyeSpots,0,619179.94,1454589.9,1453677.98,-0.854083359096807,7.13886699994552,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,7.13886699994552,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,LowerFishtail,234,129350.24,1454589.9,1453677.98,-2.4199555201454,7.13886699994552,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,Leg,34,13503.73,1454589.9,1453677.98,-4.67951334062883,7.13886699994552,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,Body,0,6684.77,1454589.9,1453677.98,-5.38264747962988,6.12905021006055,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,6.12905021006055,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,6.12905021006055,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,DenseFeathers,80,25956.24,1454589.9,1453677.98,-4.02606724107353,6.12905021006055,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,LowerEyeSpots,172,354602.75,1454589.9,1453677.98,-1.41148113537953,6.12905021006055,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,UpperEyeSpots,99,619179.94,1454589.9,1453677.98,-0.854083359096807,6.12905021006055,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,UpperFishtail,55,300350.37,1454589.9,1453677.98,-1.57752959101518,6.12905021006055,53,Directed
