Clip,TotalFrames,TotalGoodFrames,TotalFrontalImageFrames,TotalBackImageFrames,TotalFemaleImageFrames,TotalSelfFrames,TotalEnvirFrames,TotalBadTrackFrames,MaleID,EyeRecord,ROI,Count,PixelSize,TotalPixels,TotalPixelsWithoutHeadCrest,RelativePixelSize,LnTotalFramesImage,OtherMaleID,ClipType
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,GreenNeck,35,65266.26,354653,339001.92,-1.69266463609536,4.26267987704132,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,4.26267987704132,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,BrownWingBrownBody,36,117666.78,354653,339001.92,-1.10328311521892,4.26267987704132,53,Directed
04-08-13_No61_164539,3304,1947,94,0,71,0,1782,1357,61,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,4.26267987704132,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,2.30258509299405,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,2.30258509299405,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,2.30258509299405,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,2.30258509299405,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,BrownWingBrownBody,10,117666.78,354653,339001.92,-1.10328311521892,2.30258509299405,53,Directed
04-08-13_No61_193208,1222,1003,605,0,10,0,388,219,61,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,2.30258509299405,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,Leg,0,61304.72,354653,339001.92,-1.75528300830982,4.27666611901606,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,4.27666611901606,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,4.27666611901606,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,HeadCrest,6,15651.08,354653,339001.92,-3.12059992246667,4.27666611901606,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,BrownWingBrownBody,66,117666.78,354653,339001.92,-1.10328311521892,4.27666611901606,53,Directed
04-08-13_No61_199305,2606,2067,1260,0,72,0,735,539,61,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,4.27666611901606,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,Leg,82,61304.72,354653,339001.92,-1.75528300830982,5.33753807970132,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,WhiteChest,91,59191.14,354653,339001.92,-1.79036797812915,5.33753807970132,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,GreenNeck,0,65266.26,354653,339001.92,-1.69266463609536,5.33753807970132,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,5.33753807970132,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,5.33753807970132,53,Directed
04-08-13_No61_202975,5107,3500,459,27,208,34,2772,1607,61,L,BrownTail,35,35573.02,354653,339001.92,-2.29955236129199,5.33753807970132,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,Leg,53,61304.72,354653,339001.92,-1.75528300830982,5.12396397940326,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,WhiteChest,0,59191.14,354653,339001.92,-1.79036797812915,5.12396397940326,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,GreenNeck,115,65266.26,354653,339001.92,-1.69266463609536,5.12396397940326,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,HeadCrest,0,15651.08,354653,339001.92,-3.12059992246667,5.12396397940326,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,BrownWingBrownBody,0,117666.78,354653,339001.92,-1.10328311521892,5.12396397940326,53,Directed
04-08-13_No61_210211,2542,2185,363,13,168,0,1641,357,61,L,BrownTail,0,35573.02,354653,339001.92,-2.29955236129199,5.12396397940326,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,Leg,95,61304.72,354653,339001.92,-1.75528300830982,5.6937321388027,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,WhiteChest,57,59191.14,354653,339001.92,-1.79036797812915,5.6937321388027,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,GreenNeck,57,65266.26,354653,339001.92,-1.69266463609536,5.6937321388027,53,Directed
04-08-13_No61_215078,6270,5039,387,0,297,70,4285,1231,61,L,HeadCrest,29,15651.08,354653,339001.92,-3.12059992246667,5.6937321388027,53,Directed
